Date,Bitcoin,Gold,SP500,Bitcoin_Norm,Gold_Norm,SP500_Norm,Bitcoin_Ret,Gold_Ret,SP500_Ret
2024-06-06,70757.1640625,2370.300048828125,5352.9599609375,18637.27647003312,189.9431046121722,292.65860922142497,-0.004581363662391591,0.006881589779467623,-0.00019981663563317653
2024-06-07,69342.5859375,2305.199951171875,5346.990234375,18264.6798015064,184.72633272479146,292.33223056625803,-0.01999201273457618,-0.027464918497738466,-0.0011152197300303701
2024-06-08,69305.7734375,2305.199951171875,5346.990234375,18254.983472531894,184.72633272479146,292.33223056625803,-0.0005308786729295578,0.0,0.0
2024-06-09,69647.9921875,2305.199951171875,5346.990234375,18345.123114806778,184.72633272479146,292.33223056625803,0.00493781012787653,0.0,0.0
2024-06-10,69512.28125,2307.699951171875,5360.7900390625,18309.377161789773,184.92666928630197,293.0866975671029,-0.0019485261992140401,0.0010845046212710763,0.0025808546645145203
2024-06-11,67332.03125,2307.5,5375.31982421875,17735.10425865451,184.9106462742046,293.8810742759041,-0.03136496113771259,-8.664522082846293e-05,0.0027103813151374556
2024-06-12,68241.1875,2336.0,5421.02978515625,17974.573952080067,187.19448307542444,296.3801427713074,0.013502581655740586,0.012351029252437806,0.008503672791998707
2024-06-13,66756.3984375,2300.199951171875,5433.740234375,17583.483881920518,184.32565960177044,297.0750522079712,-0.021757960505889518,-0.015325363368204226,0.0023446558536817097
2024-06-14,66011.09375,2331.39990234375,5431.60009765625,17387.172318287474,186.82585597659818,296.9580460206985,-0.011164543099157487,0.013564016969907167,-0.000393860697500914
2024-06-15,66191.0,2331.39990234375,5431.60009765625,17434.559216340305,186.82585597659818,296.9580460206985,0.0027253941690672523,0.0,0.0
2024-06-16,66639.046875,2331.39990234375,5431.60009765625,17552.573746622118,186.82585597659818,296.9580460206985,0.006768999939568809,0.0,0.0
2024-06-17,66490.296875,2312.39990234375,5473.22998046875,17513.39333412751,185.3032981091183,299.2340472788553,-0.0022321747830370553,-0.008149610017955,0.007664386564552705
2024-06-18,65140.74609375,2330.39990234375,5487.02978515625,17157.92472040115,186.74572135199398,299.98851427970015,-0.02029695827328193,0.0077841207231310605,0.0025213273947457537
